English,Polish
settling,utkniêcie
tractor,ci¹gnik
unacceptable,gorsz¹cy
imitating,naœladowanie
squadron,eskadra
briggs,briggsa
smallest,najmniejszy
ethics,etyka
gibson,gibsona
devotion,oddanie
plumber,hydraulik
burgers,burgery
knots,wêz³y
broom,miot³a
briefing,odprawa
curve,krzywa
informant,informator
applauding,oklaskiwaæ
whites,up³awy
app,aplikacja
andrews,Andrzej
blog,blog
ox,wó³
vase,wazon
glance,zerkn¹æ
collective,kolektyw
poles,bieguny
sixty,szeœædziesi¹t
fantasies,fantazje
heritage,dziedzictwo
motherfucking,kurwa
fisherman,rybak
armstrong,Armstronga
nder,pod
complained,narzeka³
nightclub,klub nocny
willow,wierzba
preliminary,wstêpny
server,serwer
provides,zapewnia
mat,mata
appreciation,uznanie
a-a,a-a
historic,historyczny
jorge,Jorge
promote,promowaæ
processing,przetwarzanie
naples,Neapol
high-pitched,wysoki
pumping,pompowanie
stalker,przeœladowca
goats,kozy
francine,Francine
smokes,pali
introduction,wstêp
valid,wa¿ny
portuguese,portugalski
negotiations,uk³ady
o.r.,Lub.
wheeler,ko³odziej
overheard,pods³uchany
iove,kocham
breeding,hodowla
part-time,w niepe³nym wymiarze godzin
barge,barka
refugees,uchodŸcy
wah,waha
observed,zauwa¿ony
tigers,tygrysy
brothel,burdel
missions,misje
ashore,na brzeg
panda,panda
discretion,dyskrecja
yale,Yale
disappointing,niezadowalaj¹cy
insect,owad
prophecy,proroctwo
wanda,Wanda
absent,nieobecny
machinery,maszyneria
generals,generalicja
carrot,marchew
ferrari,ferrari
wrecked,zniszczony
gestapo,gestapo
greene,zielony
suggestions,sugestie
puff,ptyœ
supportive,wspieraj¹cy
punching,uderzanie
lulu,lulu
intervention,interwencja
layers,warstwy
hughes,uœciski
scholar,uczony
libby,Libby
predators,drapie¿niki
accusations,oskar¿enia
8th,8
olympics,igrzyska olimpijskie
accounting,ksiêgowoœæ
jj,jj
expertise,ekspertyza
strap,pasek
fitz,Fitz
darryl,Darryl
butts,poœladki
approaches,podchodzi do
flags,flagi
embarrassment,zak³opotanie
faking,udawaæ
jamal,Jamal
vanilla,wanilia
grapes,winogrona
dominic,Dominik
beacon,latarnia morska
handkerchief,chusteczka
rubbing,tarcie
mallory,Mallory
rustling,szelest
lighten,rozjaœniæ
flora,flora
cuban,kubañski
polar,polarny
translator,t³umacz
congrats,gratulacje
passports,paszporty
grabbing,chwytanie
alf,alfa
brotherhood,braterstwo
ernest,Ernest
professionals,profesjonaliœci
yuan,yuan
understandable,zrozumia³y
banner,transparent
academic,akademicki
thuds,dudnienie
sa,sa
publicly,publicznie
orphans,sieroty
pearls,per³y
predator,drapie¿nik
brien,Brien
frances,francuzki
addison,Addison
syrup,syrop
cartel,kartel
nash,nash
walsh,Walisz
norma,norma
bluffing,blefowaæ
permitted,dozwolony
unpredictable,nieobliczalny
wagner,Wagner
suspension,zawieszenie
addresses,adresy
stamps,znaczki
category,kategoria
transition,przemiana
peas,groszek
cautious,ostro¿ny
k.,k.
isabella,izabela
comparison,porównanie
coats,p³aszcze
islam,islam
thugs,bandyci
grams,gramy
freshman,student pierwszego roku
toilets,WC
banquet,bankiet
coup,wspania³y wyczyn
shaken,przygotowany w shakerze
investigations,œledztwa
toothbrush,szczoteczka do zêbów
expressed,wyra¿one
vulgar,wulgarny
haunt,straszyæ
improvement,poprawa
zeus,Zeus
murdoch,Murdoch
smelling,pachn¹cy
kirby,Kirby
repairs,remont
jeong,d¿ong
conducted,prowadzone
ollie,Ollie
bakery,piekarnia
busting,rozbijanie
investigated,zbadane
60s,lata 60
admission,wstêp
essay,esej
twitter,œwiergot
depths,otch³añ
fewer,mniej
guarding,strzeg¹cy
altered,zmieniony
filing,odk³adanie do akt
ecstasy,ekstaza
snatch,urywek
stored,przechowywany
tropical,tropikalny
pharmacy,Apteka
dalton,Dalton
altitude,wysokoœæ
admired,Podziwiany
dickhead,kretyn
priya,Priya
mamma,mama
moe,moe
grind,mieliæ
bombay,Bombaj
he,On
lowest,najni¿szy
makin,robiæ
sentences,zdania
mute,niemy
full-time,pe³ny etat
scratching,drapanie
imprisoned,uwiêziony
danish,duñski
glowing,rozjarzony
zhang,Zhang
martini,martini
leah,Leah
empress,cesarzowa
equipped,wyposa¿ony
finale,fina³
tarzan,Tarzana
storms,burze
sniff,pow¹chaæ
oh.,Oh.
me.,Ja.
slick,przysiek
unarmed,bezbronny
16th,16
violated,naruszone
vent,odpowietrznik
dd,dd
breakthrough,wy³om
stud,stadnina
addressed,adresowane
tactical,taktyczny
vessels,naczynia
procedures,procedury
ching,ching
dine,jeœæ obiad
draws,rysuje
crowds,t³umy
limb,koñczyna
wool,we³na
montana,Montana
giovanni,Giovanni
jerks,targanie
numb,zdrêtwia³y
oceans,oceany
priceless,bezcenny
rocking,ko³ysanie
commanding,imponuj¹cy
relaxing,odprê¿aj¹cy
clatters,klekocze
merci,Merci
gerard,Gerard
packs,paczki
parlor,salon
cabbage,kapusta
josé,Jose
intruder,intruz
considerable,znaczny
